"date","cloud_cover","mean_prep","pot_evap","mean_tmp","max_tmp","min_tmp","diurnal_tmp_range","vapour_pressure","wet_day_frq","PET","spei1","spei_ 3","spei_ 6","spei_ 9","spei_ 12"
1901-01-16,51.3,210.4,4.4,26.3,30,22.7,7.3,25.5,5.51,116.550580854823,1.57878883973056,NA,NA,NA,NA
1901-02-15,46.3,66.8,4.6,26.6,30.5,22.8,7.7,26.4,4.7,116.866121359395,0.215275483907234,NA,NA,NA,NA
1901-03-16,47.5,86.4,4.5,26.5,30.3,22.7,7.6,27,6.04,133.07491051458,0.391884593414948,1.15956582718155,NA,NA,NA
1901-04-16,57.5,133.1,4.2,27.3,30.7,23.9,6.8,28.7,10.37,124.482137182587,0.567620308012379,0.490929911182983,NA,NA,NA
1901-05-16,70,47.3,3.9,27.5,30.4,24.7,5.7,29.6,8.06,115.137311190021,-0.837005232681898,-0.0951066154815494,NA,NA,NA
1901-06-16,71.3,34.3,4.2,27.3,30.1,24.6,5.5,28.1,6.36,106.475890690725,-0.766381276938245,-0.526481868057313,0.70661562263071,NA,NA
1901-07-16,72.5,36.8,4.2,27.2,30.2,24.2,6,27.1,6.18,115.513406278141,-0.18594335521249,-1.13120591615119,-0.396680912669949,NA,NA
1901-08-16,72.5,6.5,4.2,27.2,30.1,24.3,5.8,27.7,0.75,116.648263062776,-1.89197036976529,-1.66896909842622,-1.06159404622744,NA,NA
1901-09-16,72.5,77.7,4.1,27.2,30.1,24.3,5.8,28.2,9.77,113.630682957018,0.177388656488409,-1.04547688780281,-1.12597411381095,0.0937843653601946,NA
1901-10-16,70,79.6,3.8,27.1,30.3,24,6.3,28.5,11.88,117.975886969317,-1.34017606611911,-1.8471648533557,-2.38352339996528,-1.36270158010029,NA
1901-11-16,65,230.5,3.5,26,29.3,22.7,6.6,26.8,14.31,107.500025630285,0.243974036864111,-0.552526407042511,-1.37797210884956,-1.22460372972887,NA
1901-12-16,60,94.2,3.6,25.8,29.1,22.6,6.5,26.8,10.02,106.219761951122,-0.794623024245222,-0.922795744364967,-1.40439581727102,-1.4812310032735,-0.70899858252681
1902-01-16,51.3,171.7,4.2,25.4,29.1,21.8,7.3,24.6,5.85,114.174691324374,1.19915775749033,0.303175987303731,-0.661753845011159,-1.10166213187144,-0.864513832456129
1902-02-15,46.3,72.2,4.5,25.5,29.4,21.7,7.7,24.9,5.48,113.974046365124,0.409214798505898,0.329719123952808,-0.195005449498985,-0.777709409268036,-0.803138237965197
1902-03-16,47.5,81.3,4.5,26.8,30.6,23,7.6,27.2,5.87,133.976095010164,0.258944980632821,0.909476549122114,-0.174536042520281,-0.558104672485552,-0.789948802765514
1902-04-16,57.5,74.7,4.2,27.7,31.1,24.3,6.8,29.7,3.3,125.586191614361,-0.794238325916342,-0.222568199138939,0.07947573789079,-0.703285672918635,-1.08770864578559
1902-05-16,70,40.7,4,27.9,30.8,25.1,5.7,29.9,8.27,116.1528552799,-1.01892319240472,-1.06812010875823,-0.356879476714764,-0.652812407841845,-1.13327197029451
1902-06-16,71.3,64.4,4.2,27.9,30.7,25.2,5.5,29.3,7.58,107.89085269326,0.38220832347457,-1.03670787105504,0.0978524068440521,-0.671954534547794,-0.976732581098705
1902-07-16,72.5,30.2,4.3,27.1,30.1,24.1,6,26.6,6.18,115.256709819745,-0.436373530441382,-0.901839682294625,-0.821223121134715,-0.348439734857789,-0.994581358627639
1902-08-16,72.5,31.7,4.2,27.3,30.2,24.4,5.8,27.7,5.48,116.907481425137,-0.947929163267931,-0.820853129593934,-1.31572796204873,-0.675545625004469,-0.87453356458229
1902-09-16,72.5,136.7,4,26.6,29.5,23.7,5.8,27.4,8.33,112.115607184257,1.24255213578639,0.18473403259121,-0.716138722463605,0.142201073081589,-0.547979789275295
1902-10-16,70,273.1,3.7,26.2,29.4,23.1,6.3,26.9,12.29,115.613744627329,1.76814758134213,1.43561380331892,0.800375293673239,0.430490685256096,0.487164020545238
1902-11-16,65,364.5,3.5,26.3,29.6,23,6.6,27.3,13.93,108.236327175698,1.78366561528562,2.05565009503124,1.78445498364889,1.26195105310056,1.14088279456237
1902-12-16,60,167.7,3.7,26.2,29.5,23,6.5,27,10.27,107.193138922037,0.306752311067631,1.62693083563481,1.52288214773859,1.1096245635242,1.45887212667385
1903-01-16,51.3,115.4,4.3,26.2,29.9,22.6,7.3,25.8,5.51,116.286593129218,0.395297477449747,1.31591657792218,1.62895239170153,1.31736735335422,1.19203389937484
1903-02-15,46.3,96.9,4.6,26.6,30.5,22.8,7.7,26.6,4.7,116.866121359395,0.859197186064837,0.625058993595775,1.8486531697231,1.6320342069992,1.26592516052688
1903-03-16,47.5,12.5,4.5,26.6,30.4,22.8,7.6,26.7,5.52,133.375305346441,-1.51751152713185,-0.0406723448433441,1.40172542568632,1.32929761768131,0.92436801598584
1903-04-16,57.5,79.7,4.2,27.7,31.1,24.3,6.8,29.7,5.55,125.586191614361,-0.67582635897834,-0.755231871586567,0.744752936573713,1.27125794639651,0.950911644888561
1903-05-16,70,195.7,3.8,27.2,30.1,24.4,5.7,29.3,8.47,114.375653122612,1.68917706489038,0.177688431324191,0.542905379876969,1.73370015861834,1.52078582350919
1903-06-16,71.3,91.5,4,27.4,30.2,24.7,5.5,28.8,6.36,106.711717691147,1.18216181270532,1.27934856505034,0.806573493029059,1.76975931641169,1.61601557152302
1903-07-16,72.5,87.6,4.2,27.2,30.2,24.2,6,27.5,6.18,115.513406278141,1.18256679507525,1.95745250434241,1.08208837623382,1.54828370889108,1.78341309974067
1903-08-16,72.5,67.2,4.2,26.8,29.7,23.9,5.8,27,8.93,115.611389613329,0.253579426641196,1.24542421388654,0.872130542946167,0.920148404670701,1.87688709677725
1903-09-16,72.5,103,3.9,26.6,29.5,23.7,5.8,27.5,9.41,112.115607184257,0.730441816879019,0.94788703772509,1.46600104473516,1.09154940958785,1.7695069578585
1903-10-16,70,136.5,3.7,26.8,30,23.7,6.3,28.3,11.8,117.188506188654,-0.393783167377692,0.203263149719923,1.47907171016937,0.889686314168159,1.39823592157929
1903-11-16,65,87.1,3.5,26.2,29.5,22.9,6.6,27.6,13.49,107.990893327227,-1.76493250786196,-1.17033523756827,-0.366056211166147,-0.28273770543439,0.172630172413281
1903-12-16,60,104.4,3.6,25.5,28.8,22.3,6.5,26.1,10.34,105.489729222935,-0.60899104854354,-1.50874888924768,-0.905505661282335,-0.154696935720519,-0.234661838322117
1904-01-16,51.3,190.4,4.2,25,28.7,21.4,7.3,23.8,5.4,113.118740421952,1.41519808832529,-0.683111136365714,-0.426668135804744,0.605150154625804,0.236773090688673
1904-02-15,46.3,26.9,4.4,25.1,29,21.3,7.7,24.5,4.31,112.922382730844,-0.748929485592007,0.210541271187562,-0.681698296455077,-0.16940408447816,-0.139954110870985
1904-03-16,47.5,62.6,4.5,26.1,29.9,22.3,7.6,26.1,5.52,131.873331187134,-0.136938792044437,0.56910644359145,-0.905410441173442,-0.418969556372293,0.132992557970364
1904-04-16,57.5,60.1,4.2,27.6,31,24.2,6.8,29.3,9.56,125.310178006418,-1.12810993975075,-1.17347916349894,-1.17678866871732,-0.947301796917984,0.0560834596279403
1904-05-16,70,84.6,3.8,27.1,30,24.3,5.7,29.3,8.06,114.121767100142,0.0345820588486986,-0.874868528970011,-0.346199540229359,-0.977483283940455,-0.517350554081688
1904-06-16,71.3,44.8,4,26.5,29.3,23.8,5.5,27.1,6.36,104.589274687346,-0.233302834210615,-0.835963331232125,-0.130212884045745,-1.21101136426187,-0.769094315247392
1904-07-16,72.5,103.5,4.2,26.6,29.6,23.6,6,26.1,7.02,113.973227527765,1.46843392277332,0.646612516212741,-0.532332048750519,-0.861153560779614,-0.669547009123873
1904-08-16,72.5,7.2,4.3,26.9,29.8,24,5.8,26.7,3.39,115.87060797569,-1.83367230724057,-0.162481942815182,-0.816572998973932,-0.427945322450127,-0.997108919593664
1904-09-16,72.5,26.7,4.1,26.9,29.8,24,5.8,27.5,8.69,112.873145070638,-1.28308142157661,-0.733424142708828,-1.16202987136105,-0.494027706779857,-1.39001061181627
1904-10-16,70,180.2,3.8,26.7,29.9,23.6,6.3,27.7,11.8,116.926045928433,0.384586384477981,-1.06592433568495,-0.363991276991901,-1.08676962931876,-1.26449191682884
