target,model,primary_model_context,calibration_for,station,aggregation,period,observed_threshold,decision_threshold,default_f1,calibrated_f1,f1_change,true_positive,false_positive,false_negative,true_negative,precision,recall,specificity,balanced_accuracy,observed_support,predicted_support,n,observed_rate,predicted_rate,interpretation_status,calibrated_persistence_f1,calibrated_f1_difference_vs_calibrated_persistence
spei3,ridge_ar24,ridge_ar24,model,Buttala,station,1985-01/1999-12,-1.0,-0.4,0.5333333333333333,0.5957446808510638,0.062411347517730476,28,32,6,114,0.4666666666666667,0.8235294117647058,0.7808219178082192,0.8021756647864625,34,60,180,0.18888888888888888,0.3333333333333333,threshold_selection_apparent_performance,0.5116279069767442,0.0841167738743196
spei3,ridge_ar24,ridge_ar24,model,Padaviya,station,1985-01/1999-12,-1.0,-0.4,0.43137254901960786,0.5979381443298968,0.16656559531028892,29,32,7,112,0.47540983606557374,0.8055555555555556,0.7777777777777778,0.7916666666666667,36,61,180,0.2,0.3388888888888889,threshold_selection_apparent_performance,0.4827586206896552,0.11517952364024159
spei3,ridge_ar24,ridge_ar24,model,Tissamaharama,station,1985-01/1999-12,-1.0,-0.4,0.44827586206896547,0.5376344086021505,0.08935854653318503,25,34,9,112,0.423728813559322,0.7352941176470589,0.7671232876712328,0.7512087026591459,34,59,180,0.18888888888888888,0.3277777777777778,threshold_selection_apparent_performance,0.5121951219512195,0.02543928665093098
spei3,ridge_ar24,ridge_ar24,model,__macro__,equal_station_macro,1985-01/1999-12,-1.0,-0.4,0.4709939148073022,0.5771057445943704,0.10611182978706814,82,98,22,338,0.45526843876385414,0.7881263616557734,0.7752409944190766,0.7816836780374251,104,180,540,0.19259259259259257,0.3333333333333333,threshold_selection_apparent_performance,0.502193883205873,0.07491186138849737
spei3,ridge_ar24,ridge_ar24,model,__pooled__,pooled,1985-01/1999-12,-1.0,-0.4,0.4733727810650888,0.5774647887323944,0.10409200766730559,82,98,22,338,0.45555555555555555,0.7884615384615384,0.7752293577981652,0.7818454481298518,104,180,540,0.1925925925925926,0.3333333333333333,threshold_selection_apparent_performance,0.5019607843137255,0.07550400441866889
spei3,ridge_ar24,ridge_ar24,model,Buttala,station,2000-01/2019-12,-1.0,-0.4,0.5142857142857143,0.6187050359712231,0.10441932168550871,43,47,6,144,0.4777777777777778,0.8775510204081632,0.7539267015706806,0.8157388609894219,49,90,240,0.20416666666666666,0.375,post_hoc_retrospective_diagnostic,0.6250000000000001,-0.00629496402877705
spei3,ridge_ar24,ridge_ar24,model,Padaviya,station,2000-01/2019-12,-1.0,-0.4,0.5797101449275363,0.6315789473684209,0.051868802440884654,36,34,8,162,0.5142857142857142,0.8181818181818182,0.826530612244898,0.8223562152133581,44,70,240,0.18333333333333332,0.2916666666666667,post_hoc_retrospective_diagnostic,0.6407766990291263,-0.009197751660705356
spei3,ridge_ar24,ridge_ar24,model,Tissamaharama,station,2000-01/2019-12,-1.0,-0.4,0.547945205479452,0.6056338028169014,0.057688597337449354,43,47,9,141,0.4777777777777778,0.8269230769230769,0.75,0.7884615384615384,52,90,240,0.21666666666666667,0.375,post_hoc_retrospective_diagnostic,0.5862068965517242,0.01942690626517718
spei3,ridge_ar24,ridge_ar24,model,__macro__,equal_station_macro,2000-01/2019-12,-1.0,-0.4,0.5473136882309009,0.6186392620521818,0.07132557382128091,122,128,23,447,0.48994708994708996,0.8408853051710196,0.776819104605193,0.808852204888106,145,250,720,0.20138888888888887,0.34722222222222227,post_hoc_retrospective_diagnostic,0.6173278651936168,0.0013113968585649616
spei3,ridge_ar24,ridge_ar24,model,__pooled__,pooled,2000-01/2019-12,-1.0,-0.4,0.5471698113207548,0.6177215189873418,0.07055170766658703,122,128,23,447,0.488,0.8413793103448276,0.7773913043478261,0.8093853073463269,145,250,720,0.2013888888888889,0.3472222222222222,post_hoc_retrospective_diagnostic,0.6163141993957703,0.0014073195915715875
