outer_fold,target,station,model,n,mae,rmse,r2,pearson_r,drought_threshold,drought_support,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_threshold,severe_support,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy
2000-01_2004-12,spei3,Buttala,persistence,60,0.6259285759288892,0.7979262340636687,0.25844418729561325,0.6271984384020876,-1.0,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7204968944099379,-1.5,2,0.0,0.0,,0.4827586206896552
2000-01_2004-12,spei3,Padaviya,persistence,60,0.679881183072855,0.9043393775456658,0.17867573876637377,0.5884409737589913,-1.0,10,0.6,0.6,0.6,0.76,-1.5,5,0.2,0.2,0.20000000000000004,0.5636363636363636
2000-01_2004-12,spei3,Tissamaharama,persistence,60,0.6123212995575358,0.7870383086092445,0.2482346223876597,0.6220040501481171,-1.0,17,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.6716826265389877,-1.5,2,0.0,0.0,,0.4827586206896552
2000-01_2004-12,spei3,Buttala,ridge_ar24,60,0.5125662940344753,0.6571917915345498,0.49695988848649175,0.7103670253694625,-1.0,14,0.875,0.5,0.6363636363636364,0.7391304347826086,-1.5,2,1.0,0.5,0.6666666666666666,0.75
2000-01_2004-12,spei3,Padaviya,ridge_ar24,60,0.5958042139547064,0.7590518279911136,0.42137841670519927,0.6525963596311668,-1.0,10,1.0,0.6,0.7499999999999999,0.8,-1.5,5,,0.0,,0.5
2000-01_2004-12,spei3,Tissamaharama,ridge_ar24,60,0.5014154267561246,0.646453019505611,0.49281720418954067,0.70909515799725,-1.0,17,1.0,0.47058823529411764,0.6399999999999999,0.7352941176470589,-1.5,2,0.5,0.5,0.5,0.7413793103448276
2000-01_2004-12,spei6,Buttala,persistence,60,0.4463396536512532,0.5723423356706892,0.5984605392130022,0.7963114607515129,-1.0,12,0.75,0.75,0.75,0.84375,-1.5,4,0.25,0.25,0.25,0.5982142857142857
2000-01_2004-12,spei6,Padaviya,persistence,60,0.47884275723941666,0.6305140665620981,0.5192099395011511,0.7564634827465357,-1.0,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8527004909983633,-1.5,2,0.0,0.0,,0.4827586206896552
2000-01_2004-12,spei6,Tissamaharama,persistence,60,0.4403767133866927,0.5606495760979137,0.5946637474965102,0.7943654274434034,-1.0,12,0.75,0.75,0.75,0.84375,-1.5,5,0.6,0.6,0.6,0.7818181818181817
2000-01_2004-12,spei6,Buttala,ridge_ar24_met24,60,0.29813634665747984,0.4139995977786854,0.7899047049099839,0.890941798521683,-1.0,12,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.90625,-1.5,4,0.5,0.25,0.3333333333333333,0.6160714285714286
