target,model,training_start_year,outer_fold,alpha,inner_fold_station_mean_mae,candidate_scores,inner_folds,inner_validation_periods,outer_fit_end,outer_evaluation_start,outer_evaluation_end,outer_outcomes_used_for_selection
spei3,ridge_ar24,1901,2000-01_2004-12,0.0001,0.5596122983173744,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5596122983173744}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5596123236330972}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5596125768709693}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5596151172902594}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5596496218393201}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5605352812993147}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.5782842277560628}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.6834176285520733}]",3,"[""1985-01/1989-12"", ""1990-01/1994-12"", ""1995-01/1999-12""]",1999-12,2000-01,2004-12,False
spei3,ridge_ar24,1901,2005-01_2009-12,0.0001,0.5528304355880159,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5528304355880159}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5528306018743433}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5528322644818974}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.552848865035537}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5530123675251617}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5548787067733608}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.57407658721889}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.6707906807298301}]",3,"[""1990-01/1994-12"", ""1995-01/1999-12"", ""2000-01/2004-12""]",2004-12,2005-01,2009-12,False
spei3,ridge_ar24,1901,2010-01_2014-12,10.0,0.5546204021008624,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5555518536002697}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5555517275524242}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5555504670853718}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5555378635716572}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.55541196017106}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5546204021008624}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.5611605184186889}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.6507102651961001}]",3,"[""1995-01/1999-12"", ""2000-01/2004-12"", ""2005-01/2009-12""]",2009-12,2010-01,2014-12,False
spei3,ridge_ar24,1901,2015-01_2019-12,0.0001,0.5390170084806636,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5390170084806636}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5390170867982932}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5390178696820875}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5390256693410547}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5391008175574732}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5398243354668387}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.554227179275774}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.6567073499160951}]",3,"[""2000-01/2004-12"", ""2005-01/2009-12"", ""2010-01/2014-12""]",2014-12,2015-01,2019-12,False
spei6,ridge_ar24_met24,1901,2000-01_2004-12,100.0,0.3560798209806967,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.4075210103857691}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.4074796573604289}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.40707290739139773}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.4036427178183671}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.3856923119442368}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.35771546820235645}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.3560798209806967}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.4499729402357146}]",3,"[""1985-01/1989-12"", ""1990-01/1994-12"", ""1995-01/1999-12""]",1999-12,2000-01,2004-12,False
spei6,ridge_ar24_met24,1901,2005-01_2009-12,100.0,0.34175927960165453,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.39203688875871123}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.3920096910358347}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.39173956936837806}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.38933561514268766}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.37351229492561555}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.3444434741212446}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.34175927960165453}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.4292485643809638}]",3,"[""1990-01/1994-12"", ""1995-01/1999-12"", ""2000-01/2004-12""]",2004-12,2005-01,2009-12,False
spei6,ridge_ar24_met24,1901,2010-01_2014-12,100.0,0.33188660319742297,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.3867559917777814}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.38674361248638206}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.3866189526068739}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.38539691948142285}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.3737778504452927}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.34101826573299826}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.33188660319742297}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.4199674892436289}]",3,"[""1995-01/1999-12"", ""2000-01/2004-12"", ""2005-01/2009-12""]",2009-12,2010-01,2014-12,False
spei6,ridge_ar24_met24,1901,2015-01_2019-12,100.0,0.32913282030212554,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.3847023333115081}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.38468739076288777}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.38453793620577564}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.38320534355429603}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.37447803406421454}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.34274768942381284}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.32913282030212554}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.4232001963262311}]",3,"[""2000-01/2004-12"", ""2005-01/2009-12"", ""2010-01/2014-12""]",2014-12,2015-01,2019-12,False
spei3,ridge_ar24,1951,2000-01_2004-12,1.0,0.5685671576742733,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5692784750321148}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5692777694541398}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5692707194425443}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5692007916683179}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5685671576742733}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5706324879761226}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.6144430497393831}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.74813641678588}]",3,"[""1985-01/1989-12"", ""1990-01/1994-12"", ""1995-01/1999-12""]",1999-12,2000-01,2004-12,False
spei3,ridge_ar24,1951,2005-01_2009-12,1.0,0.5614779945041075,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.561600904886701}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5616007867310391}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5615996059693634}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5615878773187722}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5614779945041075}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5652145709139429}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.6066117541692516}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.7216837043779427}]",3,"[""1990-01/1994-12"", ""1995-01/1999-12"", ""2000-01/2004-12""]",2004-12,2005-01,2009-12,False
